                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6004,                 1.7063,                 1.4101,                 0.6759,                0.78608,                0.77936,                0.51747,                 1.1429,                 1.9966,                 1.0887,             0.00041675,             0.00041675,             0.00041675
                      2,                 0.9863,                0.83297,                  1.067,                0.71398,                0.83987,                0.82002,                0.56773,                 1.0295,                  1.304,                 1.0892,             0.00083334,             0.00083334,             0.00083334
                      3,                0.95913,                 0.7502,                 1.0566,                 0.7345,                0.85594,                0.84677,                0.59399,                0.98767,                 1.1067,                 1.0718,              0.0012328,              0.0012328,              0.0012328
                      4,                0.94447,                0.74942,                 1.0538,                0.79737,                0.82975,                0.85135,                0.61422,                0.95068,                 1.0337,                 1.0523,               0.001568,               0.001568,               0.001568
                      5,                0.91034,                0.70294,                 1.0452,                0.77889,                 0.8536,                 0.8604,                0.62433,                0.95968,                  1.063,                 1.0793,               0.001568,               0.001568,               0.001568
                      6,                 0.9344,                0.71288,                 1.0373,                0.82285,                0.85329,                0.87272,                0.65165,                0.89112,                 1.0822,                 1.0212,               0.001535,               0.001535,               0.001535
                      7,                 0.8433,                0.66481,                 1.0163,                0.86487,                0.87942,                0.91348,                0.70415,                0.81737,                0.68807,                0.97829,               0.001502,               0.001502,               0.001502
                      8,                 0.8557,                0.66424,                 1.0034,                 0.8575,                0.90247,                 0.9121,                0.69104,                0.85009,                0.71142,                0.99687,               0.001469,               0.001469,               0.001469
                      9,                  0.819,                0.64152,                0.99361,                0.84183,                 0.8877,                0.89301,                0.69743,                0.79141,                0.66621,                0.98399,               0.001436,               0.001436,               0.001436
                     10,                0.82537,                0.63862,                0.99123,                0.87542,                0.89538,                0.90626,                0.68202,                0.85635,                  0.626,                0.97107,              0.0014029,              0.0014029,              0.0014029
                     11,                0.79872,                0.61698,                0.98214,                0.87615,                0.91373,                0.92193,                0.74021,                0.71278,                0.61112,                0.94898,              0.0013699,              0.0013699,              0.0013699
                     12,                0.77095,                0.59628,                0.97253,                0.91233,                0.90619,                0.93367,                0.74502,                0.74716,                0.58913,                0.94741,              0.0013369,              0.0013369,              0.0013369
                     13,                0.75262,                0.57767,                0.96108,                0.86366,                0.91425,                0.92275,                0.73012,                0.79205,                0.60937,                0.95931,              0.0013039,              0.0013039,              0.0013039
                     14,                0.74789,                0.58868,                0.96347,                0.88399,                 0.9126,                0.92484,                0.75337,                0.70618,                0.56368,                0.92846,              0.0012709,              0.0012709,              0.0012709
                     15,                0.72767,                0.57253,                0.96131,                0.88602,                0.91224,                0.92698,                0.75974,                0.68849,                0.55777,                0.92742,              0.0012379,              0.0012379,              0.0012379
                     16,                0.72739,                0.56759,                0.95531,                0.87566,                0.91379,                0.91643,                0.74472,                0.71452,                0.59264,                0.92357,              0.0012049,              0.0012049,              0.0012049
                     17,                 0.7301,                0.56952,                0.95123,                  0.873,                0.91671,                  0.914,                0.74047,                0.72711,                0.56511,                0.92622,              0.0011719,              0.0011719,              0.0011719
                     18,                0.72269,                0.55033,                0.94493,                0.87272,                0.91601,                 0.9168,                0.74488,                0.72096,                0.56864,                 0.9319,              0.0011389,              0.0011389,              0.0011389
                     19,                0.69532,                0.54461,                0.94677,                0.89004,                0.91762,                0.92379,                0.76738,                0.67134,                0.56215,                0.91814,              0.0011059,              0.0011059,              0.0011059
                     20,                0.68801,                0.54523,                0.93879,                0.89684,                0.91449,                0.93518,                0.76211,                0.67829,                0.56051,                0.91996,              0.0010729,              0.0010729,              0.0010729
                     21,                0.68869,                0.54155,                0.93927,                0.90411,                0.89822,                0.93975,                0.78091,                0.66216,                0.56618,                0.90883,              0.0010399,              0.0010399,              0.0010399
                     22,                0.67295,                0.53369,                0.93336,                0.90038,                0.90499,                0.93681,                 0.7651,                0.71185,                0.53682,                0.91597,              0.0010069,              0.0010069,              0.0010069
                     23,                0.68104,                 0.5306,                0.93926,                0.91181,                 0.9045,                0.93924,                0.79102,                0.64185,                0.52619,                0.90451,             0.00097386,             0.00097386,             0.00097386
                     24,                0.68191,                0.52693,                0.93023,                0.88359,                  0.907,                0.92893,                0.75129,                0.70694,                0.55004,                0.92069,             0.00094085,             0.00094085,             0.00094085
                     25,                0.67632,                0.51763,                0.93017,                0.87798,                0.91764,                0.92213,                0.76632,                0.65427,                0.55192,                 0.9121,             0.00090785,             0.00090785,             0.00090785
                     26,                0.67455,                0.53049,                0.93071,                0.90798,                 0.9075,                0.93646,                0.78071,                0.65207,                 0.5393,                0.90888,             0.00087484,             0.00087484,             0.00087484
                     27,                0.66114,                0.51442,                0.92562,                0.90933,                0.91192,                0.94418,                0.79052,                0.64793,                0.52334,                0.90251,             0.00084184,             0.00084184,             0.00084184
                     28,                0.66431,                0.51751,                0.92518,                0.90168,                0.92223,                0.94266,                0.78762,                0.64505,                0.51594,                0.89567,             0.00080883,             0.00080883,             0.00080883
                     29,                0.63994,                0.50016,                0.91755,                0.90933,                0.92806,                0.95117,                0.80384,                0.62249,                0.50007,                0.89348,             0.00077582,             0.00077582,             0.00077582
                     30,                0.65837,                0.50574,                0.92292,                0.89547,                0.91451,                0.92727,                0.78129,                0.62932,                0.53156,                0.89627,             0.00074282,             0.00074282,             0.00074282
