                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4051,                 1.3819,                 1.2918,                0.64024,                0.86947,                0.80427,                0.56131,                 1.0235,                 1.8578,                 1.0507,             0.00054477,             0.00054477,             0.00054477
                      2,                0.98926,                0.83018,                  1.069,                0.79948,                0.80941,                0.83029,                0.59954,                 0.9491,                0.85954,                 1.0349,              0.0010895,              0.0010895,              0.0010895
                      3,                0.98458,                0.77526,                 1.0676,                0.79926,                 0.8444,                0.86972,                0.63354,                 0.9212,                0.90294,                 1.0579,              0.0016233,              0.0016233,              0.0016233
                      4,                0.96986,                0.78619,                 1.0661,                0.80323,                 0.8581,                0.85916,                0.63396,                0.93602,                0.83294,                 1.0496,              0.0016175,              0.0016175,              0.0016175
                      5,                0.94997,                0.74285,                 1.0595,                0.80816,                0.86521,                0.86557,                0.64516,                 0.8744,                0.71585,                 1.0138,              0.0016175,              0.0016175,              0.0016175
                      6,                0.90001,                0.69694,                 1.0387,                0.85305,                0.87198,                 0.8844,                0.68039,                0.81973,                0.66943,                 0.9966,               0.001601,               0.001601,               0.001601
                      7,                0.86558,                0.67249,                 1.0162,                0.85689,                0.91308,                0.90363,                0.69423,                0.78386,                0.70629,                0.99607,              0.0015845,              0.0015845,              0.0015845
                      8,                0.82394,                0.67084,                 1.0035,                0.85141,                0.89825,                0.91361,                0.73228,                0.74133,                0.61765,                0.96509,               0.001568,               0.001568,               0.001568
                      9,                0.83201,                0.64245,                  1.004,                0.86804,                0.89322,                0.91045,                0.71832,                0.74114,                0.64772,                0.96587,              0.0015515,              0.0015515,              0.0015515
                     10,                0.83033,                0.65275,                0.99993,                0.85716,                0.90081,                0.91963,                  0.715,                0.79345,                0.64929,                0.99541,               0.001535,               0.001535,               0.001535
                     11,                0.80801,                0.62544,                 0.9922,                0.87635,                0.90647,                0.92532,                 0.7308,                0.75561,                0.63323,                0.97066,              0.0015185,              0.0015185,              0.0015185
                     12,                0.83878,                0.64143,                0.99987,                 0.8666,                0.90138,                0.91841,                0.72925,                0.74735,                0.66659,                0.97286,               0.001502,               0.001502,               0.001502
                     13,                0.79072,                0.61961,                0.98143,                0.88485,                0.92165,                0.93365,                0.76579,                0.67398,                0.58532,                0.93541,              0.0014855,              0.0014855,              0.0014855
                     14,                0.76092,                0.60047,                0.96819,                0.89585,                0.91601,                0.93568,                0.75585,                0.69715,                0.57975,                0.93732,               0.001469,               0.001469,               0.001469
                     15,                0.77141,                0.59919,                0.96763,                0.88248,                0.91645,                0.93463,                0.75891,                 0.6847,                  0.578,                0.93866,              0.0014525,              0.0014525,              0.0014525
                     16,                0.75655,                0.59781,                0.96434,                0.89337,                0.91134,                0.93047,                0.75499,                0.69094,                0.58282,                 0.9416,               0.001436,               0.001436,               0.001436
                     17,                0.76407,                0.62564,                0.96846,                0.88701,                0.91006,                0.92907,                0.76404,                0.66951,                0.56967,                0.92893,              0.0014195,              0.0014195,              0.0014195
                     18,                0.73848,                0.58811,                0.95849,                0.88871,                0.91473,                0.92888,                0.75215,                 0.7065,                0.59049,                0.93049,              0.0014029,              0.0014029,              0.0014029
                     19,                0.74365,                0.57173,                 0.9559,                0.88997,                0.91323,                0.93891,                0.76041,                0.69839,                0.58289,                0.92126,              0.0013864,              0.0013864,              0.0013864
                     20,                0.74489,                0.58584,                0.96153,                0.88428,                0.90095,                0.93351,                0.76722,                0.67484,                0.55361,                 0.9256,              0.0013699,              0.0013699,              0.0013699
                     21,                0.72799,                0.57861,                0.95649,                0.88534,                0.90501,                0.92647,                0.73668,                 0.7059,                0.58844,                0.92671,              0.0013534,              0.0013534,              0.0013534
                     22,                0.72388,                0.55909,                0.94578,                 0.8813,                0.92232,                 0.9255,                0.76514,                0.65327,                0.54619,                0.91039,              0.0013369,              0.0013369,              0.0013369
                     23,                0.71249,                0.54754,                0.93969,                0.87845,                 0.9143,                0.92651,                0.76017,                 0.6737,                0.56282,                0.92548,              0.0013204,              0.0013204,              0.0013204
                     24,                0.71794,                0.55847,                0.94325,                0.90158,                0.92103,                0.94549,                 0.7755,                0.65424,                0.53498,                0.90728,              0.0013039,              0.0013039,              0.0013039
                     25,                0.71911,                0.56396,                0.93921,                0.90422,                0.91413,                0.93651,                0.78083,                0.62619,                0.54343,                0.90445,              0.0012874,              0.0012874,              0.0012874
                     26,                0.69072,                0.55236,                0.93907,                0.90196,                0.91812,                0.93948,                0.78529,                0.62845,                0.52497,                0.90351,              0.0012709,              0.0012709,              0.0012709
                     27,                0.69245,                0.54052,                0.93429,                 0.9114,                0.91135,                 0.9449,                0.78837,                0.62164,                0.54311,                0.90696,              0.0012544,              0.0012544,              0.0012544
                     28,                0.68523,                0.56261,                 0.9396,                0.86695,                0.92069,                0.91271,                0.75809,                0.63386,                0.54429,                0.91075,              0.0012379,              0.0012379,              0.0012379
                     29,                0.69732,                0.54912,                0.93576,                0.90861,                0.91892,                0.94432,                0.78619,                0.63648,                0.52201,                0.90267,              0.0012214,              0.0012214,              0.0012214
                     30,                0.68309,                0.52964,                 0.9277,                0.89597,                0.91813,                0.94398,                0.78609,                0.64728,                0.52394,                0.91495,              0.0012049,              0.0012049,              0.0012049
                     31,                0.68689,                0.53477,                0.93612,                0.89684,                 0.9234,                0.94264,                0.79114,                0.62315,                0.52758,                0.90231,              0.0011884,              0.0011884,              0.0011884
                     32,                0.67267,                0.51769,                0.92543,                0.89962,                0.91268,                0.94058,                0.77729,                 0.6571,                0.52645,                0.91221,              0.0011719,              0.0011719,              0.0011719
                     33,                0.67447,                0.52451,                0.93026,                 0.9067,                 0.9221,                0.94813,                0.78965,                0.62898,                0.53217,                0.89957,              0.0011554,              0.0011554,              0.0011554
                     34,                0.67386,                0.52801,                0.93107,                0.92088,                0.91675,                0.95087,                0.80579,                0.59899,                0.49893,                0.89558,              0.0011389,              0.0011389,              0.0011389
                     35,                0.64361,                0.51644,                0.92464,                0.88886,                0.93312,                0.94103,                0.79245,                 0.6112,                0.51461,                0.90836,              0.0011224,              0.0011224,              0.0011224
                     36,                0.69342,                 0.5457,                0.93654,                 0.9006,                0.92139,                 0.9447,                0.78727,                0.63068,                0.51284,                0.89962,              0.0011059,              0.0011059,              0.0011059
                     37,                0.66538,                0.52099,                0.92721,                0.90217,                0.91775,                0.94338,                 0.7956,                0.59853,                0.52166,                0.89449,              0.0010894,              0.0010894,              0.0010894
                     38,                 0.6575,                0.50894,                0.92456,                0.88334,                0.92103,                0.93594,                0.79012,                 0.6082,                0.52981,                0.89584,              0.0010729,              0.0010729,              0.0010729
                     39,                0.65895,                0.50556,                0.92597,                0.91418,                0.90664,                0.93921,                0.78911,                0.62214,                0.53138,                  0.906,              0.0010564,              0.0010564,              0.0010564
                     40,                0.66937,                0.50924,                0.92602,                0.90154,                0.92741,                0.94137,                0.79847,                0.59273,                0.50452,                0.89709,              0.0010399,              0.0010399,              0.0010399
                     41,                0.66969,                0.50344,                0.92358,                0.91472,                0.91269,                0.94625,                0.80248,                0.60063,                0.50489,                0.89681,              0.0010234,              0.0010234,              0.0010234
                     42,                0.65018,                0.51155,                0.91644,                0.89467,                0.92677,                0.93094,                0.78807,                0.59422,                0.51808,                0.89455,              0.0010069,              0.0010069,              0.0010069
                     43,                0.63429,                0.50289,                0.91919,                0.91155,                0.92177,                0.94956,                 0.7987,                0.59921,                0.50095,                0.88593,             0.00099036,             0.00099036,             0.00099036
                     44,                0.63585,                0.48648,                0.91264,                0.90276,                0.92974,                0.93986,                0.79359,                0.59969,                0.50761,                0.89576,             0.00097386,             0.00097386,             0.00097386
                     45,                0.63946,                0.48888,                0.90816,                0.89367,                0.93122,                0.94638,                0.77265,                0.65973,                0.51523,                0.89506,             0.00095736,             0.00095736,             0.00095736
                     46,                0.63375,                0.49536,                0.91496,                0.89397,                0.91522,                0.93194,                 0.7941,                0.58839,                0.52452,                0.88967,             0.00094085,             0.00094085,             0.00094085
                     47,                0.63431,                 0.4919,                0.91279,                0.90287,                0.92067,                0.93581,                0.78466,                0.61375,                0.51299,                0.88895,             0.00092435,             0.00092435,             0.00092435
                     48,                0.65008,                0.49239,                0.91475,                0.91505,                0.92416,                0.94521,                0.80506,                0.58604,                0.49468,                0.88276,             0.00090785,             0.00090785,             0.00090785
                     49,                0.61561,                0.48907,                0.91147,                0.91437,                0.92016,                0.94777,                0.80001,                0.59202,                0.49662,                0.88026,             0.00089134,             0.00089134,             0.00089134
                     50,                0.62275,                0.48095,                0.91153,                0.90659,                0.92548,                0.94205,                0.80859,                0.56917,                0.49379,                0.88092,             0.00087484,             0.00087484,             0.00087484
                     51,                0.61761,                0.47407,                 0.9093,                0.89433,                0.91246,                0.92556,                0.79554,                0.57088,                0.51127,                0.88683,             0.00085834,             0.00085834,             0.00085834
                     52,                0.62175,                0.47852,                0.91231,                0.90236,                0.91809,                0.93818,                0.79892,                0.57447,                0.51542,                0.88369,             0.00084184,             0.00084184,             0.00084184
                     53,                0.60961,                0.46452,                0.90609,                0.90116,                0.92011,                0.94129,                0.80712,                0.57264,                0.50489,                0.88253,             0.00082533,             0.00082533,             0.00082533
                     54,                 0.5998,                0.46739,                0.90395,                0.90779,                0.92656,                0.94436,                 0.8141,                0.56173,                0.49945,                0.87774,             0.00080883,             0.00080883,             0.00080883
                     55,                0.61412,                0.46551,                0.90901,                0.90281,                0.92056,                0.93414,                0.79757,                0.57213,                0.50794,                0.88109,             0.00079233,             0.00079233,             0.00079233
                     56,                 0.6157,                0.46539,                0.90556,                0.91114,                0.91924,                 0.9431,                0.81009,                0.57009,                0.50042,                0.88105,             0.00077582,             0.00077582,             0.00077582
                     57,                0.61658,                 0.4739,                0.90675,                0.91978,                0.91885,                0.94542,                0.82015,                0.55042,                0.47112,                0.87626,             0.00075932,             0.00075932,             0.00075932
                     58,                0.60993,                0.46245,                0.90662,                0.90753,                0.92054,                0.93533,                0.81239,                0.54646,                0.48875,                0.87482,             0.00074282,             0.00074282,             0.00074282
                     59,                0.59386,                0.45455,                0.90019,                0.90232,                0.91531,                0.93811,                0.80003,                0.57322,                0.50015,                0.87768,             0.00072631,             0.00072631,             0.00072631
                     60,                0.59799,                0.47212,                0.90413,                0.90887,                0.92607,                0.94309,                 0.8094,                0.56932,                0.50409,                0.87872,             0.00070981,             0.00070981,             0.00070981
                     61,                0.59569,                0.45726,                0.89706,                0.89763,                0.91959,                0.93894,                0.80992,                0.56156,                0.49669,                0.88013,             0.00069331,             0.00069331,             0.00069331
                     62,                0.60044,                0.46008,                0.90336,                0.91697,                0.91452,                0.95088,                0.81628,                0.55703,                0.49879,                0.87348,              0.0006768,              0.0006768,              0.0006768
                     63,                0.59148,                0.45709,                0.90457,                0.92396,                0.91235,                0.94816,                0.81744,                0.56143,                0.48877,                0.87868,              0.0006603,              0.0006603,              0.0006603
                     64,                0.59895,                0.44794,                0.89804,                0.91846,                0.91562,                0.94072,                 0.8079,                0.56816,                0.50338,                0.88067,              0.0006438,              0.0006438,              0.0006438
                     65,                0.58546,                0.45096,                0.90134,                0.91713,                0.90269,                0.94055,                0.81408,                0.55131,                0.49169,                0.87406,             0.00062729,             0.00062729,             0.00062729
                     66,                 0.5784,                 0.4477,                0.89629,                0.91554,                0.92045,                0.94935,                0.82432,                0.54562,                0.46634,                0.87418,             0.00061079,             0.00061079,             0.00061079
                     67,                0.57718,                0.44602,                0.90152,                0.92264,                0.91753,                0.94921,                0.82415,                0.54806,                0.46877,                 0.8742,             0.00059429,             0.00059429,             0.00059429
                     68,                0.61261,                0.45012,                0.90168,                0.90587,                0.93115,                0.94368,                0.81223,                0.56665,                0.47611,                0.87858,             0.00057778,             0.00057778,             0.00057778
                     69,                0.59957,                0.46006,                0.89965,                0.89345,                0.92549,                0.93059,                0.80714,                0.55001,                0.49043,                0.87564,             0.00056128,             0.00056128,             0.00056128
                     70,                0.57681,                0.44167,                0.89489,                0.89331,                0.92149,                0.93238,                0.81012,                0.54446,                0.49093,                0.87124,             0.00054478,             0.00054478,             0.00054478
                     71,                0.57746,                0.43609,                0.89463,                0.90752,                0.92968,                0.95209,                0.82641,                0.53707,                0.47155,                0.86785,             0.00052827,             0.00052827,             0.00052827
                     72,                0.57069,                0.43072,                0.89253,                 0.9064,                0.92577,                0.94258,                 0.8241,                0.53448,                0.47406,                0.86603,             0.00051177,             0.00051177,             0.00051177
                     73,                0.56766,                0.43053,                0.89621,                 0.9113,                0.90699,                 0.9401,                0.82061,                0.53376,                0.48146,                0.87045,             0.00049527,             0.00049527,             0.00049527
                     74,                0.56212,                0.43042,                0.89376,                0.89334,                0.92705,                0.93244,                0.81357,                0.55033,                0.49049,                 0.8719,             0.00047876,             0.00047876,             0.00047876
                     75,                0.56466,                0.42642,                0.89127,                  0.905,                0.90768,                0.92938,                0.81367,                0.53209,                0.49828,                0.87033,             0.00046226,             0.00046226,             0.00046226
                     76,                0.57049,                0.43105,                0.88633,                0.91696,                0.91746,                0.94169,                0.82718,                0.52602,                0.47168,                0.86561,             0.00044576,             0.00044576,             0.00044576
                     77,                0.55599,                0.42542,                0.89103,                0.91031,                0.91781,                0.94101,                0.82719,                0.52678,                0.47319,                0.86842,             0.00042925,             0.00042925,             0.00042925
                     78,                0.56016,                0.42819,                0.89591,                0.90917,                0.92736,                0.94058,                0.82428,                0.52317,                0.47789,                0.86771,             0.00041275,             0.00041275,             0.00041275
                     79,                0.55832,                0.42463,                0.89039,                 0.9046,                 0.9218,                0.93806,                0.82311,                0.52212,                0.47628,                0.86649,             0.00039625,             0.00039625,             0.00039625
                     80,                0.55799,                0.41379,                0.89155,                0.91771,                0.92119,                0.94546,                0.83225,                0.52307,                0.46652,                0.86808,             0.00037974,             0.00037974,             0.00037974
                     81,                0.55025,                0.41276,                0.88586,                0.92494,                0.90946,                0.94335,                  0.834,                0.51721,                0.46512,                 0.8656,             0.00036324,             0.00036324,             0.00036324
                     82,                0.54713,                0.41107,                0.88397,                0.91457,                0.91462,                0.94111,                 0.8287,                0.51798,                0.48073,                0.86803,             0.00034674,             0.00034674,             0.00034674
                     83,                0.54048,                0.40212,                0.88217,                 0.9257,                0.91573,                0.94658,                0.83854,                0.51136,                0.45734,                0.86628,             0.00033023,             0.00033023,             0.00033023
                     84,                0.54846,                0.41391,                0.88485,                0.90209,                0.91534,                0.93366,                0.82768,                0.51305,                0.48652,                 0.8649,             0.00031373,             0.00031373,             0.00031373
                     85,                0.54797,                0.41076,                0.88723,                0.91655,                0.92178,                0.94141,                0.82948,                0.51495,                0.46398,                0.86579,             0.00029723,             0.00029723,             0.00029723
                     86,                0.54586,                0.40324,                 0.8905,                0.92298,                0.91727,                0.94198,                0.83238,                0.51173,                0.46421,                0.86589,             0.00028072,             0.00028072,             0.00028072
                     87,                0.53741,                0.39969,                0.88515,                0.91843,                0.91477,                0.93933,                0.83071,                0.51405,                0.46826,                 0.8661,             0.00026422,             0.00026422,             0.00026422
                     88,                0.53328,                 0.3974,                0.88401,                0.92221,                0.92068,                0.94106,                0.83164,                0.51305,                0.46088,                0.86624,             0.00024772,             0.00024772,             0.00024772
                     89,                0.54115,                0.40234,                 0.8902,                0.91481,                0.91898,                 0.9365,                0.83094,                0.50297,                0.46309,                0.86241,             0.00023121,             0.00023121,             0.00023121
                     90,                0.51912,                0.39653,                 0.8801,                0.91904,                0.91048,                0.93346,                0.82523,                0.51055,                0.46878,                0.86475,             0.00021471,             0.00021471,             0.00021471
                     91,                0.53378,                0.40874,                0.87055,                0.90454,                0.92572,                0.93764,                0.82686,                0.51025,                0.46816,                 0.8658,             0.00021471,             0.00021471,             0.00021471
                     92,                0.52546,                0.38919,                0.86677,                0.91567,                0.91198,                0.94034,                 0.8276,                0.51282,                0.47131,                0.86635,              0.0001817,              0.0001817,              0.0001817
                     93,                0.52681,                0.39225,                0.86385,                0.90715,                0.92252,                0.93981,                0.83291,                  0.505,                0.47756,                0.86133,              0.0001652,              0.0001652,              0.0001652
                     94,                0.51686,                0.38796,                0.86292,                0.91267,                0.91759,                 0.9366,                0.83163,                0.50434,                0.47485,                0.86231,              0.0001487,              0.0001487,              0.0001487
                     95,                0.51489,                0.38921,                0.86249,                0.91975,                0.91562,                0.93732,                0.83237,                0.50239,                0.47786,                0.86466,             0.00013219,             0.00013219,             0.00013219
                     96,                0.50632,                0.38252,                0.85663,                0.91076,                0.91681,                0.93202,                0.82886,                0.49922,                0.48044,                0.86158,             0.00011569,             0.00011569,             0.00011569
                     97,                0.50785,                0.37785,                0.86577,                0.90858,                0.92557,                0.93868,                0.83439,                 0.4989,                 0.4683,                0.86128,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.50512,                 0.3669,                0.85394,                0.90907,                0.91774,                0.93754,                0.83249,                0.49702,                0.47011,                0.86081,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.50677,                0.37016,                0.85703,                0.90421,                0.92658,                 0.9377,                0.83429,                0.49417,                0.46872,                0.86147,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.50438,                0.37091,                0.85917,                 0.9104,                0.92293,                0.93723,                0.83577,                0.49273,                0.47178,                0.86102,             4.9677e-05,             4.9677e-05,             4.9677e-05
